id,name,category,country,state,district,normalizedName,startingLetter,endingLetter
subdistrict-2463,Hassan,subdistrict,India,,,hassan,H,N
subdistrict-2464,Kushtagi,subdistrict,India,,,kushtagi,K,I
subdistrict-2465,Mysuru,subdistrict,India,,,mysuru,M,U
subdistrict-2466,Chikodi,subdistrict,India,,,chikodi,C,I
subdistrict-2467,Pandavapura,subdistrict,India,,,pandavapura,P,A
subdistrict-2468,Hosanagara,subdistrict,India,,,hosanagara,H,A
subdistrict-2469,Karkal,subdistrict,India,,,karkal,K,L
subdistrict-2470,Narasimharajapura,subdistrict,India,,,narasimharajapura,N,A
subdistrict-2471,Sagar,subdistrict,India,,,sagar,S,R
subdistrict-2472,Hagaribommanahalli,subdistrict,India,,,hagaribommanahalli,H,I
subdistrict-2473,Kundapura,subdistrict,India,,,kundapura,K,A
subdistrict-2474,Arkalgud,subdistrict,India,,,arkalgud,A,D
subdistrict-2475,Mangaluru,subdistrict,India,,,mangaluru,M,U
subdistrict-2476,Tarikere,subdistrict,India,,,tarikere,T,E
subdistrict-2477,Somvarpet,subdistrict,India,,,somvarpet,S,T
subdistrict-2478,Ballari,subdistrict,India,,,ballari,B,I
subdistrict-2479,Davanagere,subdistrict,India,,,davanagere,D,E
subdistrict-2480,Hukeri,subdistrict,India,,,hukeri,H,I
subdistrict-2481,Harappanahalli,subdistrict,India,,,harappanahalli,H,I
subdistrict-2482,Molakalmuru,subdistrict,India,,,molakalmuru,M,U
subdistrict-2483,Naragund,subdistrict,India,,,naragund,N,D
subdistrict-2484,Mandya,subdistrict,India,,,mandya,M,A
subdistrict-2485,Honnali,subdistrict,India,,,honnali,H,I
subdistrict-2486,Udupi,subdistrict,India,,,udupi,U,I
subdistrict-2487,Shrirangapattana,subdistrict,India,,,shrirangapattana,S,A
subdistrict-2488,Jagalur,subdistrict,India,,,jagalur,J,R
subdistrict-2489,Mudhol,subdistrict,India,,,mudhol,M,L
subdistrict-2490,Mundgod,subdistrict,India,,,mundgod,M,D
subdistrict-2491,Bhadravati,subdistrict,India,,,bhadravati,B,I
subdistrict-2492,Chitapur,subdistrict,India,,,chitapur,C,R
subdistrict-2494,Shiggaon,subdistrict,India,,,shiggaon,S,N
subdistrict-2495,Muddebihal,subdistrict,India,,,muddebihal,M,L
subdistrict-2496,Virajpet,subdistrict,India,,,virajpet,V,T
subdistrict-2497,Gangavathi,subdistrict,India,,,gangavathi,G,I
subdistrict-2498,Jamkhandi,subdistrict,India,,,jamkhandi,J,I
subdistrict-2499,Humnabad,subdistrict,India,,,humnabad,H,D
subdistrict-2500,Koppal,subdistrict,India,,,koppal,K,L
subdistrict-2502,Ramdurg,subdistrict,India,,,ramdurg,R,G
subdistrict-2503,Ranebennur,subdistrict,India,,,ranebennur,R,R
subdistrict-2504,Bagepalli,subdistrict,India,,,bagepalli,B,I
subdistrict-2505,Hadagalli,subdistrict,India,,,hadagalli,H,I
subdistrict-2506,Kalghatgi,subdistrict,India,,,kalghatgi,K,I
